theta       Dist 
0.77       02036.50
1.66       02036.75
2.58       02045.50
3.52       02046.50
4.42       02046.00
5.33       02055.75
6.22       02058.50
7.11       02059.00
8.06       02060.00
8.95       02061.75
9.86       02073.25
10.77       02080.75
11.67       02085.00
12.58       02094.25
13.48       02097.00
14.38       02106.00
15.31       02109.75
16.20       02114.75
17.14       02118.00
18.05       02136.50
18.95       02150.00
19.86       02157.50
20.78       02167.75
21.67       02182.00
22.59       02197.00
23.48       02204.50
24.41       02217.25
25.31       02244.00
26.19       02256.25
27.12       02274.50
28.00       02291.50
28.94       02308.50
29.83       02326.75
30.73       02344.75
31.66       02363.75
32.53       02383.25
33.44       02410.25
34.34       02440.75
35.23       02466.50
36.14       02498.75
37.06       02512.75
37.98       02547.50
38.86       02585.75
39.77       02611.75
40.59       02634.00
41.53       02589.00
42.41       02548.00
43.34       02545.25
44.22       02568.25
45.12       02548.00
46.05       02521.00
46.98       02480.00
47.88       02444.25
48.78       02407.50
49.73       02373.00
50.62       02329.25
51.55       02319.00
52.45       02288.25
53.36       02257.00
54.30       02227.50
55.22       02105.75
56.16       02082.00
57.09       02057.75
57.97       02033.75
58.88       02021.25
59.78       01996.00
60.73       01980.00
61.62       01959.00
62.58       01943.25
63.48       01922.00
64.39       01910.00
65.20       01905.75
66.17       01886.00
67.03       01871.00
67.97       01857.50
68.86       01852.00
69.81       01834.75
70.70       01831.50
71.58       01814.75
72.48       01805.75
73.41       01795.25
74.31       01786.50
75.25       01777.25
76.17       01773.00
77.08       01769.50
77.97       01755.75
78.86       01753.50
79.81       01752.00
80.70       01743.25
81.58       01736.75
82.52       01735.00
83.39       01732.00
84.28       01730.00
85.25       01723.25
86.16       01724.00
87.06       01717.75
87.95       01718.25
89.17       01716.50
90.09       01716.00
91.02       01716.00
91.91       01717.00
92.81       01716.50
93.77       01716.75
94.64       01717.75
95.53       01724.75
96.47       01726.00
97.38       01731.25
98.34       01731.25
99.22       01732.75
100.14       01736.25
101.05       01743.25
101.78       02186.25
102.78       02046.50
103.70       02019.75
104.61       01997.50
105.50       02121.00
106.38       02132.25
107.33       02072.75
108.23       02097.25
109.17       02087.25
110.11       02031.25
110.97       02130.25
111.92       02128.75
112.72       02197.25
113.67       02081.75
114.58       02155.75
115.48       02129.00
116.33       02225.50
117.30       02150.00
118.22       02136.75
119.12       02154.50
120.03       02226.25
120.95       02199.50
121.80       02355.75
122.72       02344.00
123.59       02361.25
124.52       02405.75
125.42       02427.00
126.34       02462.25
127.27       02502.00
128.12       02541.25
129.08       02525.00
129.98       02487.50
130.91       02460.50
131.84       02411.00
132.73       02362.25
133.66       02343.25
134.59       02392.75
135.48       02378.00
136.41       02342.50
137.22       02293.00
138.14       02275.25
139.05       02243.00
139.84       00000.00
140.95       01899.00
141.91       01887.75
142.80       01899.25
143.47       00000.00
144.56       02096.00
145.47       02071.75
146.39       02047.25
147.27       02024.25
148.20       02007.50
149.12       01983.25
150.02       01969.00
150.97       01855.00
151.92       01844.00
152.56       00000.00
153.47       00000.00
154.64       01762.75
155.55       01762.75
156.45       01762.75
157.38       01753.50
158.28       01762.75
158.94       00000.00
159.84       00000.00
160.75       00000.00
161.81       01688.25
163.02       01219.75
164.02       01207.00
164.83       01199.00
165.83       01192.00
166.66       01189.25
167.61       01184.50
168.47       01182.75
169.39       01179.00
170.34       01175.75
171.28       01170.75
172.16       01168.75
173.03       01170.75
173.92       01167.50
174.80       01167.00
175.73       01168.25
176.66       01167.00
177.53       01168.00
178.45       01167.75
179.41       01168.50
180.31       01174.00
181.14       01175.75
182.08       01179.50
182.94       01183.75
183.91       01184.00
184.77       01188.00
185.95       01189.00
186.94       01191.25
187.83       01197.00
188.67       01198.50
189.59       01199.75
190.52       01203.75
191.41       01212.75
192.34       01225.50
193.27       01234.75
194.12       01282.75
194.98       01295.00
195.30       00000.00
196.20       00000.00
197.11       00000.00
198.02       00000.00
198.94       00000.00
199.84       00000.00
200.75       00000.00
202.05       01762.75
202.95       01744.00
203.86       01762.75
204.78       01762.75
205.70       01762.75
206.20       00000.00
207.11       00000.00
208.02       00000.00
209.09       01923.50
210.05       01937.00
210.94       01964.75
211.84       01981.50
212.72       02002.75
213.62       02011.25
214.53       02037.50
215.42       02058.75
216.33       02084.75
217.20       02107.75
218.14       02119.00
219.05       02153.75
219.95       02181.00
220.84       02201.00
221.73       02229.75
222.61       02259.25
223.52       02292.25
224.44       02325.25
225.33       02348.50
226.22       02391.50
227.14       02428.00
228.03       02464.00
228.94       02479.75
229.83       02466.50
230.75       02478.50
231.66       02486.00
232.58       02486.50
233.41       02497.25
234.34       02486.50
235.23       02502.00
236.14       02504.25
237.02       02510.00
237.94       02525.75
238.86       02528.25
239.77       02542.00
240.67       02545.25
241.53       02564.00
242.47       02568.75
243.38       02584.00
244.28       02592.00
245.17       02609.25
246.09       02614.00
246.98       02630.50
247.88       02650.75
248.78       02671.50
249.67       02693.50
250.59       02700.25
251.48       02722.00
252.42       02727.00
253.30       02748.75
254.20       02789.25
255.08       02816.75
255.98       02818.75
257.12       02799.75
258.05       02796.75
258.95       02791.25
259.86       02786.25
260.78       02767.00
261.70       02768.50
262.61       02750.75
263.53       02745.50
264.45       02744.25
265.48       02202.25
266.41       02193.50
267.33       02190.75
268.23       02182.00
269.14       02182.00
270.08       02196.50
270.98       02190.00
271.88       02192.00
272.81       02184.75
273.73       02193.00
274.62       02190.75
275.53       02194.00
276.47       02189.50
277.36       02198.25
278.30       02199.50
279.17       02210.50
280.11       02212.50
281.00       02217.50
281.92       02217.75
282.83       02228.25
283.73       02244.00
284.64       02245.25
285.55       02257.75
286.48       02270.75
287.39       02276.00
288.30       02292.75
289.22       02296.25
290.09       02311.25
291.02       02324.25
291.94       02331.75
292.88       02332.75
293.75       02359.00
