theta       Dist 
0.70       02404.25
1.69       02396.25
2.72       02407.00
3.72       02406.75
4.72       02406.75
5.72       02408.50
6.72       02410.50
7.75       02413.50
8.75       02413.25
9.73       02427.50
10.75       02439.00
11.77       02441.75
12.73       02446.00
13.77       02450.00
14.77       02465.25
15.75       02469.75
16.67       02485.50
17.69       02489.25
18.69       02506.75
19.69       02527.25
20.67       02533.50
21.67       02563.25
22.67       02585.75
23.69       02591.00
24.66       02611.75
25.64       02631.00
26.66       02655.00
27.67       02676.50
28.66       02700.75
29.67       02723.00
30.67       02759.25
31.67       02788.00
32.66       02815.50
33.66       02843.75
34.64       02871.50
35.66       02903.75
36.66       02949.75
37.64       02978.25
38.62       03012.25
39.62       03058.50
40.83       03096.00
41.80       03133.25
42.84       03100.25
43.84       03042.25
44.84       03003.25
45.89       02953.75
46.92       02897.00
47.94       02844.50
48.92       02797.50
49.95       02750.75
51.00       02707.50
51.97       02691.00
53.00       02649.75
54.02       02609.00
55.03       02583.75
56.08       02558.25
57.08       02521.00
58.11       02486.25
59.11       02460.50
60.14       02457.25
61.12       02407.75
62.17       02389.50
63.16       02361.25
64.19       02343.75
64.92       02325.75
65.89       02309.50
66.91       02289.00
67.94       02273.75
68.91       02256.75
69.92       02241.75
70.94       02227.75
71.92       02213.50
72.95       02189.75
73.94       02185.00
74.95       02180.50
75.94       02169.00
76.92       02155.25
77.94       02152.00
78.92       02147.00
79.92       02135.25
80.92       02133.25
81.94       02131.25
82.97       02128.50
83.94       02111.25
84.94       02099.50
85.94       02109.75
86.91       02097.50
87.92       02098.25
88.89       02096.75
89.88       02095.50
90.88       02096.75
91.84       02096.00
92.86       02095.50
93.84       02097.25
94.84       02097.00
95.84       02099.50
96.83       02100.00
97.81       02109.00
98.81       02111.75
99.84       02114.50
100.81       02131.50
101.81       02134.50
102.81       02136.50
103.80       02138.75
104.77       02151.25
105.77       02180.00
106.80       02183.25
107.77       02187.25
108.78       02154.00
109.80       02056.25
110.83       01955.75
111.86       01864.75
113.17       01773.50
114.27       01705.00
115.27       01638.25
116.33       01571.50
117.36       01513.00
118.45       01459.00
119.48       01413.75
120.52       01367.25
121.52       01326.50
122.58       01285.50
123.62       01247.00
124.70       01214.25
125.69       01184.75
126.77       01156.00
127.78       01130.75
128.86       01101.75
129.83       01075.75
130.92       01050.50
131.89       01029.75
132.98       01007.50
134.05       00993.50
135.05       00971.75
136.05       00953.00
137.12       00936.00
137.98       00919.75
139.00       00904.00
139.94       00890.50
140.95       00878.00
142.05       00863.50
143.14       00849.00
144.03       00838.25
145.16       00826.75
146.14       00816.75
147.09       00805.75
148.17       00797.25
149.22       00787.25
150.16       00778.50
151.22       00769.50
152.20       00762.00
153.23       00754.75
154.39       00746.50
155.39       00740.75
156.39       00733.75
157.28       00726.25
158.47       00720.75
159.36       00715.75
160.48       00710.25
161.38       00704.75
162.23       00699.50
163.19       00696.00
164.25       00692.50
165.19       00689.25
166.14       00685.00
167.31       00682.25
168.23       00680.25
169.30       00674.75
170.30       00673.00
171.14       00672.50
172.17       00669.75
173.30       00667.50
174.31       00665.50
175.22       00664.00
176.19       00662.50
177.19       00662.50
178.17       00661.00
179.11       00660.75
180.27       00660.50
181.25       00660.25
182.16       00660.75
183.09       00661.00
184.09       00661.50
185.16       00661.75
186.30       00662.75
187.23       00664.25
188.23       00665.50
189.25       00666.25
190.27       00668.00
191.20       00670.25
192.23       00673.00
193.25       00674.75
194.09       00678.25
195.17       00681.00
196.20       00684.25
197.08       00687.50
198.14       00691.50
199.11       00694.75
200.00       00699.25
201.06       00703.00
202.14       00707.50
203.11       00711.25
204.00       00716.75
205.06       00724.25
205.91       00729.50
206.95       00736.25
207.94       00743.00
208.84       00749.50
210.23       00756.75
211.12       00764.25
212.09       00773.00
213.02       00783.25
214.08       00789.75
215.06       00797.75
216.11       00809.75
217.12       00818.50
218.05       00828.00
219.02       00839.00
220.00       00849.25
220.94       00863.75
221.89       00875.75
222.95       00889.75
223.95       00901.25
224.88       00917.50
225.91       00933.75
226.88       00950.25
227.83       00968.00
228.78       00984.25
229.86       01002.50
230.77       01021.50
231.81       01044.00
232.78       01065.00
233.59       01090.50
234.58       01110.00
235.55       01138.75
236.53       01163.50
237.44       01189.00
238.48       01219.25
239.44       01249.50
240.41       01286.00
241.34       01327.25
242.31       01365.50
243.34       01409.00
244.33       01445.75
245.27       01500.00
246.20       01550.75
247.17       01605.75
248.20       01670.75
249.14       01736.00
250.11       01811.00
251.05       01886.50
252.05       01975.75
253.06       01957.75
254.06       01946.75
255.08       01966.00
256.05       01953.50
257.11       01936.75
258.09       01933.00
259.11       01923.50
260.09       01914.75
261.12       01913.00
262.11       01909.50
263.09       01908.00
264.09       01903.25
265.12       01902.75
266.11       01894.75
267.16       01893.50
268.14       01894.25
269.14       01887.50
270.12       01886.00
271.16       01885.50
272.11       01886.75
273.14       01886.50
274.16       01886.25
275.14       01887.00
276.17       01896.00
277.16       01896.75
278.17       01905.00
279.17       01904.50
280.16       01899.75
281.45       01909.25
282.47       00000.00
283.47       00000.00
284.47       00000.00
285.47       00000.00
286.48       00000.00
287.48       00000.00
288.48       00000.00
289.48       00000.00
290.48       00000.00
291.50       00000.00
292.50       00000.00
293.50       00000.00
294.50       00000.00
295.50       00000.00
296.50       00000.00
297.52       00000.00
298.52       00000.00
299.52       00000.00
300.52       00000.00
301.52       00000.00
302.61       02195.75
303.64       02198.75
304.64       02230.25
305.56       02260.50
306.59       02280.00
307.58       02312.00
308.61       02342.00
309.61       02373.00
310.59       02396.50
311.59       02429.75
312.61       02465.50
313.59       02505.50
314.61       02522.25
315.61       02466.75
316.64       02504.25
317.66       02429.50
318.66       02460.00
319.69       02471.00
320.69       02526.00
321.62       02898.25
322.62       02954.50
323.62       03029.25
324.62       03009.00
325.66       02976.00
326.67       02928.25
327.66       02882.25
328.59       02850.75
329.62       02823.00
330.62       02810.00
331.64       02770.00
332.66       02728.25
333.66       02718.00
334.66       02697.50
335.67       02661.00
336.69       02651.50
337.70       02627.50
338.73       02596.75
339.75       02587.00
340.75       02579.75
341.77       02561.25
342.75       02543.75
343.77       02524.25
344.78       02516.25
345.80       02490.50
346.81       02483.00
347.81       02477.75
348.83       02450.25
349.83       02448.00
350.86       02444.50
351.84       02441.00
352.89       02438.00
353.91       02426.25
354.91       02413.50
355.92       02411.25
356.89       02410.25
357.89       02410.25
358.69       02407.00
359.66       02408.00
0.92       02407.75
1.95       02404.25
2.92       02407.75
3.94       02407.75
4.95       02408.25
5.95       02408.25
6.98       02408.75
7.98       02413.00
9.00       02426.00
10.02       02426.25
11.00       02441.25
12.00       02442.50
13.00       02446.25
14.02       02452.00
15.03       02465.75
16.00       02481.00
17.08       02485.50
18.06       02502.50
19.09       02509.00
20.09       02526.75
21.12       02546.50
22.09       02567.25
23.09       02585.50
24.14       02594.75
25.12       02625.00
26.14       02633.25
27.12       02655.75
28.16       02678.25
29.14       02715.75
30.14       02724.25
31.17       02765.00
32.17       02775.00
33.19       02817.00
34.16       02847.50
35.19       02874.25
36.19       02905.00
37.17       02949.00
38.19       02980.50
39.20       03012.50
40.19       03061.25
40.97       03097.50
42.00       03134.50
43.00       03100.25
44.00       03040.75
45.02       02983.50
46.00       02934.00
47.03       02895.75
48.05       02844.50
49.05       02796.25
50.05       02750.25
51.06       02705.75
52.03       02691.75
53.08       02633.25
54.06       02608.00
55.06       02582.50
56.08       02546.00
57.09       02510.25
58.09       02496.00
59.11       02458.75
60.09       02460.00
61.12       02408.25
62.11       02388.00
63.11       02361.25
64.14       02330.50
65.06       02323.50
66.09       02298.00
67.06       02289.50
68.09       02271.50
69.08       02255.75
70.11       02239.25
71.09       02226.75
72.08       02213.25
73.06       02199.00
74.09       02184.25
75.11       02180.75
76.09       02165.75
77.11       02153.75
78.09       02150.25
79.06       02147.50
80.11       02136.00
81.06       02133.75
82.11       02121.75
83.08       02129.50
84.06       02110.75
85.11       02100.50
86.09       02099.50
87.08       02099.50
88.08       02098.25
89.20       02097.50
90.23       02096.75
91.22       02097.25
92.23       02096.50
93.23       02096.50
94.23       02097.00
95.22       02097.50
96.23       02098.25
97.23       02099.75
98.23       02110.25
99.23       02111.75
